RA[deg]	DEC[deg]	z_low	layer
127.1781	23.6864	0.085	17
194.4308	21.7380	0.085	17
218.0417	21.5437	0.085	17
231.8642	21.2849	0.085	17
201.3311	20.4447	0.085	17
232.2590	20.1866	0.085	17
135.7385	18.3839	0.085	17
203.4491	18.3839	0.085	17
126.6605	18.0628	0.085	17
172.4478	17.8061	0.085	17
191.2385	17.7419	0.085	17
172.2457	17.6136	0.085	17
202.5920	17.1649	0.085	17
164.8309	16.7805	0.085	17
218.7124	16.5245	0.085	17
236.9439	16.5245	0.085	17
228.5406	16.4605	0.085	17
237.1154	16.3325	0.085	17
160.2579	16.1406	0.085	17
138.3104	15.8210	0.085	17
163.7784	15.8210	0.085	17
149.3346	14.6080	0.085	17
218.2164	14.6080	0.085	17
149.4084	14.5443	0.085	17
122.5915	14.1618	0.085	17
191.2459	13.9707	0.085	17
123.5184	13.9070	0.085	17
141.0223	13.6523	0.085	17
156.2220	12.7616	0.085	17
188.1964	11.7451	0.085	17
196.6828	11.6816	0.085	17
126.3146	11.3008	0.085	17
235.9506	11.3008	0.085	17
211.1833	11.2373	0.085	17
236.3273	11.0470	0.085	17
203.2280	10.8568	0.085	17
178.3536	10.5398	0.085	17
227.6660	10.5398	0.085	17
156.8163	10.4764	0.085	17
197.9273	10.4764	0.085	17
203.6842	10.4764	0.085	17
234.3181	10.0329	0.085	17
164.5704	9.3364	0.085	17
225.9106	9.0199	0.085	17
134.3330	8.8301	0.085	17
176.1329	8.4506	0.085	17
163.0448	8.3242	0.085	17
221.1866	8.0713	0.085	17
175.1254	7.8185	0.085	17
147.4202	7.7553	0.085	17
154.9028	7.7553	0.085	17
146.4418	7.0603	0.085	17
187.5220	7.0603	0.085	17
219.7248	5.9240	0.085	17
123.7655	5.7978	0.085	17
212.3140	5.5454	0.085	17
144.4634	4.1581	0.085	17
157.6896	4.1581	0.085	17
216.9543	3.4648	0.085	17
233.1915	3.4018	0.085	17
227.6800	3.0867	0.085	17
138.7882	3.0237	0.085	17
227.7453	3.0237	0.085	17
157.5062	2.9607	0.085	17
190.3769	2.8347	0.085	17
204.7944	2.4567	0.085	17
180.2478	2.3937	0.085	17
217.1987	2.2677	0.085	17
182.3266	2.2048	0.085	17
209.2847	2.2048	0.085	17
171.9328	2.0788	0.085	17
196.7421	1.8268	0.085	17
151.7659	57.1148	0.09	18
213.4499	56.4912	0.09	18
162.5220	56.1034	0.09	18
131.3535	56.0260	0.09	18
174.7663	56.0260	0.09	18
172.7247	55.1015	0.09	18
199.8649	55.0248	0.09	18
199.2448	54.5659	0.09	18
180.4243	54.1088	0.09	18
181.6294	52.9740	0.09	18
224.5654	52.7484	0.09	18
134.2712	52.6732	0.09	18
150.6762	50.9583	0.09	18
184.5702	50.8843	0.09	18
192.3983	50.5886	0.09	18
224.7065	49.5590	0.09	18
143.6149	48.6829	0.09	18
174.4456	48.1745	0.09	18
206.8718	46.5166	0.09	18
200.2210	46.3018	0.09	18
160.0800	46.0873	0.09	18
220.4925	45.9444	0.09	18
200.9061	45.5879	0.09	18
174.1921	45.5167	0.09	18
160.7469	45.3744	0.09	18
199.5535	44.0290	0.09	18
225.6556	44.0290	0.09	18
134.1776	42.9748	0.09	18
171.3782	42.9748	0.09	18
234.3741	42.4852	0.09	18
212.2874	42.2061	0.09	18
136.0589	41.5102	0.09	18
187.1062	41.4408	0.09	18
227.8100	41.0940	0.09	18
158.0488	40.5407	0.09	18
121.7478	40.1957	0.09	18
190.3050	39.2331	0.09	18
169.8623	39.0961	0.09	18
150.9602	39.0275	0.09	18
141.8365	38.7537	0.09	18
127.4101	38.4121	0.09	18
171.2181	38.0028	0.09	18
152.6664	37.8666	0.09	18
133.3214	37.4585	0.09	18
167.0694	37.0513	0.09	18
189.1514	36.7125	0.09	18
181.7339	35.4976	0.09	18
224.6388	35.2957	0.09	18
224.2394	35.0270	0.09	18
210.0022	34.9598	0.09	18
180.3420	34.2895	0.09	18
169.7308	34.0888	0.09	18
180.4148	33.0879	0.09	18
236.2369	32.6223	0.09	18
126.7297	32.5559	0.09	18
197.7110	31.3631	0.09	18
230.1172	30.8349	0.09	18
141.9338	30.3735	0.09	18
194.8380	30.3077	0.09	18
230.6176	30.3077	0.09	18
152.3694	29.8473	0.09	18
221.8791	28.7325	0.09	18
184.3797	28.6670	0.09	18
203.5636	28.4055	0.09	18
203.6371	28.4055	0.09	18
192.3732	28.2094	0.09	18
158.7443	28.1441	0.09	18
239.7498	28.0135	0.09	18
127.5287	27.9483	0.09	18
178.4970	27.6873	0.09	18
127.1335	27.5570	0.09	18
182.9603	27.4918	0.09	18
145.9518	27.1011	0.09	18
219.1420	26.7110	0.09	18
172.3203	26.5810	0.09	18
132.2488	26.1915	0.09	18
176.4094	25.8673	0.09	18
162.6487	24.0579	0.09	18
221.3686	23.0926	0.09	18
167.3157	22.8999	0.09	18
221.6056	22.8357	0.09	18
227.3500	22.6431	0.09	18
234.7721	22.6431	0.09	18
124.1624	22.3223	0.09	18
165.7297	22.0018	0.09	18
180.8872	21.8737	0.09	18
177.7589	21.7456	0.09	18
145.4438	21.5535	0.09	18
201.9097	21.5535	0.09	18
240.1502	21.1058	0.09	18
176.1476	20.2757	0.09	18
171.7131	19.7657	0.09	18
198.7662	19.4473	0.09	18
232.0770	19.4473	0.09	18
152.1736	18.4935	0.09	18
230.1857	18.3664	0.09	18
149.8988	18.1125	0.09	18
229.6057	17.8587	0.09	18
135.8355	17.0347	0.09	18
198.1095	16.9081	0.09	18
235.9496	16.5917	0.09	18
167.0804	16.2122	0.09	18
138.5857	15.7698	0.09	18
219.2548	15.7698	0.09	18
125.9805	15.4541	0.09	18
166.5001	15.0754	0.09	18
166.6438	14.9493	0.09	18
210.1409	14.9493	0.09	18
208.0345	14.6340	0.09	18
127.0885	14.5709	0.09	18
158.5252	13.8151	0.09	18
132.4156	13.5633	0.09	18
189.7617	12.9344	0.09	18
236.4058	12.9344	0.09	18
213.1476	12.8715	0.09	18
159.6870	12.7458	0.09	18
203.5225	12.2432	0.09	18
222.4414	11.9921	0.09	18
142.2632	11.6783	0.09	18
174.8055	11.5528	0.09	18
185.7341	10.9884	0.09	18
185.5252	10.7376	0.09	18
160.0554	10.6750	0.09	18
160.6925	10.1738	0.09	18
179.9639	10.1738	0.09	18
186.8765	9.0472	0.09	18
166.3500	8.7971	0.09	18
227.9891	8.7971	0.09	18
228.2429	8.5470	0.09	18
168.0886	7.2350	0.09	18
199.2105	7.2350	0.09	18
175.5986	6.7980	0.09	18
199.7435	6.7356	0.09	18
133.8684	6.5484	0.09	18
227.1436	6.4236	0.09	18
142.0597	6.3612	0.09	18
194.8237	6.2364	0.09	18
125.1046	6.0492	0.09	18
185.6185	5.7373	0.09	18
174.9232	5.6750	0.09	18
135.2860	5.4879	0.09	18
143.3319	5.2385	0.09	18
131.6292	5.0515	0.09	18
214.8177	4.9891	0.09	18
214.6056	4.7398	0.09	18
166.6256	4.6774	0.09	18
175.8129	4.6774	0.09	18
146.7012	4.1166	0.09	18
174.7309	2.8084	0.09	18
230.3196	2.5593	0.09	18
206.6658	2.1235	0.09	18
162.0957	2.0612	0.09	18
191.9898	2.0612	0.09	18
164.0667	1.9367	0.09	18
136.5587	1.4386	0.09	18
186.9607	1.4386	0.09	18
130.5841	1.1896	0.09	18
167.6022	1.1896	0.09	18
198.4386	1.0028	0.09	18
159.4327	57.6932	0.095	19
134.1276	56.5225	0.095	19
209.5034	56.5225	0.095	19
197.0927	56.3674	0.095	19
220.3388	56.2899	0.095	19
174.7095	55.9807	0.095	19
151.9115	55.2114	0.095	19
209.7424	55.2114	0.095	19
177.4800	54.8288	0.095	19
226.0857	53.0856	0.095	19
135.5643	53.0104	0.095	19
136.8242	52.3357	0.095	19
195.5937	51.8881	0.095	19
169.7488	51.7392	0.095	19
163.5169	51.0716	0.095	19
182.1934	50.0400	0.095	19
192.4847	49.7468	0.095	19
206.3111	49.6735	0.095	19
125.7047	49.3811	0.095	19
183.4087	49.3081	0.095	19
199.1941	48.8709	0.095	19
172.9480	48.7982	0.095	19
224.4551	47.7119	0.095	19
159.6283	46.9924	0.095	19
236.5853	46.7056	0.095	19
230.9836	46.6339	0.095	19
159.7452	46.1336	0.095	19
232.0227	44.9255	0.095	19
218.2268	43.3758	0.095	19
171.4537	42.6764	0.095	19
156.1626	42.2581	0.095	19
170.6934	42.0493	0.095	19
209.4617	41.6326	0.095	19
185.9403	41.2168	0.095	19
210.0714	40.9402	0.095	19
120.8058	40.8021	0.095	19
187.4107	40.3194	0.095	19
133.0554	40.1818	0.095	19
157.9554	39.5636	0.095	19
238.3800	39.5636	0.095	19
168.7118	39.2895	0.095	19
202.3247	39.2895	0.095	19
134.8643	39.0842	0.095	19
145.8257	38.9474	0.095	19
126.6537	38.5378	0.095	19
146.4602	38.4014	0.095	19
220.1065	36.8401	0.095	19
228.6703	36.7049	0.095	19
164.9334	36.6374	0.095	19
210.9433	35.8957	0.095	19
220.9379	35.8284	0.095	19
136.4296	35.6938	0.095	19
230.0961	34.8214	0.095	19
121.7269	34.6875	0.095	19
189.9351	34.2195	0.095	19
230.3558	33.8858	0.095	19
152.7469	33.0204	0.095	19
154.6277	32.6221	0.095	19
127.0775	32.4894	0.095	19
154.4373	32.4232	0.095	19
192.2004	32.2906	0.095	19
135.5936	32.1582	0.095	19
170.1596	32.0258	0.095	19
196.5000	31.8274	0.095	19
140.0489	31.7613	0.095	19
235.5313	30.5745	0.095	19
237.0891	30.5745	0.095	19
227.3741	29.5896	0.095	19
237.9201	29.3931	0.095	19
206.5845	28.6737	0.095	19
177.1142	28.5431	0.095	19
130.5602	28.4126	0.095	19
130.7254	28.3473	0.095	19
220.8712	28.0213	0.095	19
188.8750	27.8910	0.095	19
151.7595	27.6957	0.095	19
176.4723	27.6957	0.095	19
145.7718	27.3704	0.095	19
186.7918	26.8508	0.095	19
161.7453	26.2673	0.095	19
122.7282	26.1377	0.095	19
218.3114	25.9435	0.095	19
202.0711	25.3617	0.095	19
213.4900	24.7810	0.095	19
168.2124	24.5876	0.095	19
169.3049	24.2656	0.095	19
189.9791	23.9439	0.095	19
167.2526	23.8796	0.095	19
202.9532	23.6225	0.095	19
185.8730	22.7883	0.095	19
234.2500	22.3399	0.095	19
235.3638	21.0617	0.095	19
148.1202	20.7428	0.095	19
226.5869	20.5516	0.095	19
178.1445	20.1695	0.095	19
222.7786	20.1058	0.095	19
177.7957	19.8513	0.095	19
207.9419	19.4063	0.095	19
126.0226	19.2792	0.095	19
149.9786	18.7079	0.095	19
220.9757	18.4542	0.095	19
207.9642	18.2640	0.095	19
174.0406	18.2006	0.095	19
164.9185	17.8206	0.095	19
133.0295	17.1878	0.095	19
199.3678	17.0614	0.095	19
231.4041	16.9982	0.095	19
172.5407	16.8086	0.095	19
179.6257	16.6191	0.095	19
162.6224	16.5559	0.095	19
212.1808	15.9248	0.095	19
210.9560	15.4204	0.095	19
134.0602	15.3574	0.095	19
123.2840	15.2944	0.095	19
201.3231	15.1054	0.095	19
121.6890	14.9165	0.095	19
185.7716	14.7906	0.095	19
160.7335	14.4130	0.095	19
220.4377	14.2873	0.095	19
220.0521	13.9100	0.095	19
202.1111	13.2819	0.095	19
175.7145	12.9052	0.095	19
230.4346	12.7170	0.095	19
161.2360	12.5916	0.095	19
187.1786	12.5289	0.095	19
190.9416	12.0900	0.095	19
162.2331	11.7140	0.095	19
127.5137	11.6514	0.095	19
129.9998	11.4635	0.095	19
144.3806	11.4009	0.095	19
208.3065	11.3383	0.095	19
226.0135	11.1505	0.095	19
228.4762	11.1505	0.095	19
237.8031	10.7750	0.095	19
213.1221	10.7125	0.095	19
225.3564	10.7125	0.095	19
212.9770	10.5874	0.095	19
205.8674	10.5248	0.095	19
184.7517	10.0871	0.095	19
220.9661	9.6497	0.095	19
177.5904	8.5882	0.095	19
237.6900	8.4009	0.095	19
151.6787	7.9643	0.095	19
194.4608	7.9643	0.095	19
200.7087	7.6525	0.095	19
222.9814	7.2161	0.095	19
123.1240	6.9668	0.095	19
169.2488	6.4684	0.095	19
199.5900	6.4684	0.095	19
175.5633	6.0947	0.095	19
132.7807	5.5343	0.095	19
229.9336	5.2854	0.095	19
224.0984	5.1609	0.095	19
230.7147	4.6009	0.095	19
223.3959	4.5386	0.095	19
177.0607	4.4764	0.095	19
124.0276	4.3520	0.095	19
230.9724	4.2898	0.095	19
200.2850	3.8544	0.095	19
189.1089	3.0461	0.095	19
190.1909	2.9217	0.095	19
152.0298	2.7974	0.095	19
137.0809	2.6109	0.095	19
159.0685	2.6109	0.095	19
175.2380	2.4866	0.095	19
215.8240	2.2379	0.095	19
168.0011	2.1758	0.095	19
198.7046	1.3057	0.095	19
203.1676	1.3057	0.095	19
181.0554	1.2435	0.095	19
