RA[deg]	DEC[deg]	z_low	layer
181.4325	11.2388	0.03	6
224.9747	11.2388	0.03	6
133.1671	10.5332	0.03	6
127.9168	10.3409	0.03	6
162.9327	10.0205	0.03	6
191.2645	9.9564	0.03	6
182.8830	9.8923	0.03	6
197.7670	9.7001	0.03	6
166.0696	9.2519	0.03	6
146.5765	8.9958	0.03	6
165.6625	8.9318	0.03	6
233.2410	8.4840	0.03	6
220.9999	8.2921	0.03	6
189.0176	7.9723	0.03	6
232.3454	7.6527	0.03	6
140.4654	7.1415	0.03	6
231.4117	7.1415	0.03	6
200.1684	6.8221	0.03	6
157.1824	6.0558	0.03	6
146.4319	4.2057	0.03	6
125.0124	3.5681	0.03	6
190.4131	2.9307	0.03	6
207.5793	2.7395	0.03	6
219.5276	2.7395	0.03	6
173.0405	2.2297	0.03	6
209.4950	2.2297	0.03	6
199.1237	1.5289	0.03	6
200.2966	57.0766	0.035	7
184.4534	56.5984	0.035	7
167.4273	56.4394	0.035	7
224.5317	54.0835	0.035	7
146.7597	53.5409	0.035	7
136.6201	53.3863	0.035	7
192.9358	51.3192	0.035	7
189.7006	50.9403	0.035	7
223.1180	50.1857	0.035	7
234.9976	49.5103	0.035	7
173.4152	48.7639	0.035	7
119.8236	48.5408	0.035	7
150.4596	48.0216	0.035	7
224.7513	47.7257	0.035	7
151.4490	47.4305	0.035	7
132.6205	47.3568	0.035	7
164.3435	46.0365	0.035	7
213.3155	45.8177	0.035	7
203.7229	45.5263	0.035	7
237.0005	45.5263	0.035	7
197.9359	45.3808	0.035	7
125.9139	45.0903	0.035	7
163.8094	43.7896	0.035	7
136.3522	43.5020	0.035	7
122.5640	43.1432	0.035	7
205.7923	42.9283	0.035	7
183.3402	41.4317	0.035	7
183.4977	41.2898	0.035	7
192.8203	40.6529	0.035	7
182.2566	40.0886	0.035	7
227.9928	39.3156	0.035	7
160.9081	38.8953	0.035	7
120.3511	38.6855	0.035	7
159.5143	38.2666	0.035	7
160.0232	38.0575	0.035	7
235.2858	37.7790	0.035	7
194.8439	37.0846	0.035	7
169.1991	36.6691	0.035	7
219.5322	36.6691	0.035	7
211.5268	36.3925	0.035	7
147.3701	36.2544	0.035	7
169.7835	36.1853	0.035	7
153.2248	35.7027	0.035	7
173.8596	35.2212	0.035	7
146.3020	35.0152	0.035	7
217.0822	34.9466	0.035	7
209.1931	34.6723	0.035	7
201.1822	32.8974	0.035	7
139.5077	32.0150	0.035	7
159.7594	31.7441	0.035	7
